episode,fast_slot,policy,requests,stages,total_delay,compute_delay,transmission_delay,kkt_virtual_cost,infeasible,service_0,service_1,service_2,service_3,service_4
0,0,greedy_delta,9.0,21.0,3.513618230819702,2.1911120414733887,1.3225061893463135,3.513618230819702,0.0,2.0,1.0,3.0,1.0,2.0
0,0,lookahead_delta,9.0,21.0,3.513618230819702,2.1911120414733887,1.3225061893463135,3.513618230819702,0.0,2.0,1.0,3.0,1.0,2.0
0,0,wms_planner,9.0,21.0,3.72872793674469,2.197402000427246,1.5313259363174438,3.72872793674469,0.0,2.0,1.0,3.0,1.0,2.0
0,1,greedy_delta,17.0,45.0,12.972411632537842,9.839926719665527,3.1324849128723145,12.972411632537842,0.0,4.0,5.0,4.0,3.0,1.0
0,1,lookahead_delta,17.0,45.0,12.675394296646118,9.560918807983398,3.1144754886627197,12.675394296646118,0.0,4.0,5.0,4.0,3.0,1.0
0,1,wms_planner,17.0,45.0,12.968217849731445,9.804386138916016,3.1638317108154297,12.968217849731445,0.0,4.0,5.0,4.0,3.0,1.0
0,2,greedy_delta,16.0,43.0,12.370667457580566,9.279521942138672,3.0911455154418945,12.370667457580566,0.0,2.0,5.0,6.0,3.0,0.0
0,2,lookahead_delta,16.0,43.0,12.193928718566895,9.324237823486328,2.8696908950805664,12.193928718566895,0.0,2.0,5.0,6.0,3.0,0.0
0,2,wms_planner,16.0,43.0,12.128697633743286,9.159194946289062,2.9695026874542236,12.128697633743286,0.0,2.0,5.0,6.0,3.0,0.0
0,3,greedy_delta,11.0,28.0,5.367949843406677,3.591982841491699,1.775967001914978,5.367949843406677,0.0,2.0,2.0,3.0,2.0,2.0
0,3,lookahead_delta,11.0,28.0,5.333914399147034,3.6950666904449463,1.6388477087020874,5.333914399147034,0.0,2.0,2.0,3.0,2.0,2.0
0,3,wms_planner,11.0,28.0,5.650924324989319,3.7869272232055664,1.8639971017837524,5.650924324989319,0.0,2.0,2.0,3.0,2.0,2.0
0,4,greedy_delta,8.0,19.0,3.2462220191955566,2.0668578147888184,1.1793642044067383,3.2462220191955566,0.0,2.0,3.0,1.0,0.0,2.0
0,4,lookahead_delta,8.0,19.0,2.734959125518799,1.8232529163360596,0.9117062091827393,2.734959125518799,0.0,2.0,3.0,1.0,0.0,2.0
0,4,wms_planner,8.0,19.0,2.791466772556305,1.8241018056869507,0.9673649668693542,2.791466772556305,0.0,2.0,3.0,1.0,0.0,2.0
0,5,greedy_delta,12.0,32.0,7.0400742292404175,5.167631149291992,1.8724430799484253,7.0400742292404175,0.0,3.0,6.0,0.0,1.0,2.0
